time,ssh,system,kernel,other,containers
1714560578,24.0109,0,0,0,0
1714560579,0,0,0,0,0
1714560580,0,0,0,0,0
1714560581,0,0,0,0,0
1714560582,0,0,0,0,0
1714560583,0,0,0,0,0
1714560584,0,0,0,0,0
1714560585,0,0,0,0,0
1714560586,0,0,0,0,0
1714560587,0,0,0,0,0
1714560588,0,0,0,0,0
1714560589,0,0,0,0,0
1714560590,0,0,0,0,0
1714560591,0,0,0,0,0
1714560592,0,0,0,0,0
1714560593,0,0,0,0,0
1714560594,0,0,0,0,0
1714560595,0,0,0,0,0
1714560596,0,0,0,0,0
1714560597,0,0,0,0,0
1714560598,0,0,0,0,0
1714560599,0,0,0,0,0
1714560600,0,0,0,0,0
